sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-066__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	66
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-067__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	67
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-068__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	68
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-069__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	69
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-070__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	70
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-071__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	71
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-072__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	72
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-073__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	73
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-074__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	74
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-075__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	75
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-076__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	76
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-077__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	77
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-078__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	78
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-079__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	79
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-080__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	80
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-081__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	81
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-082__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	82
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-083__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	83
